"instruction","input","output"
"Tổng quan bìa sách cho truyện kinh dị lấy bối cảnh một ngôi nhà bị ám bởi linh hồn của một gia đình bị sát hại.","Không gian u ám, yếu tố siêu nhiên.","Một ngôi nhà cổ kính với cửa sổ vỡ, rèm cửa đung đưa nhẹ theo gió, ánh trăng mờ nhạt len qua những tán cây um tùm."
"Lời mở đầu bìa sách cho tiểu thuyết lãng mạn về tình yêu mãnh liệt giữa một nhạc sĩ và một vũ công tại New York.","Phong cách hiện đại, gam màu ấm áp.","Một sân khấu bỏ hoang với những ánh đèn chập chờn, những bức màn nhung đỏ sờn rách buông lơ lửng trong không gian tĩnh mịch."
"Giới thiệu câu chuyện trên bìa sách cho truyện giả tưởng về một cậu bé phát hiện ra sức mạnh điều khiển thời gian.","","Một vòng xoáy thời gian lơ lửng giữa không trung, những mảnh vỡ kim loại và đồng hồ treo tường trôi nổi trong khoảng không vô định."
"Nội dung bìa sách cho truyện hành động về một điệp viên phải ngăn chặn âm mưu khủng bố mang tầm cỡ quốc tế.","Phong cách hiện đại, gam màu tối.","Một con phố bị bao phủ bởi khói bụi dày đặc, những tòa nhà xiêu vẹo đứng im lặng trong ánh đèn đường leo lét."
"Tóm lược bìa sách cho truyện hồi hộp kể về một nhà báo điều tra vụ án mạng liên quan đến một chính trị gia đầy quyền lực.","","Một phòng làm việc ngổn ngang với những tài liệu cũ, trên bàn là một bản đồ đầy ghi chú và những dấu mực đỏ."
"Giới thiệu bìa sách cho tiểu thuyết lịch sử tái hiện cuộc đời đầy sóng gió của một nữ hoàng hùng mạnh thế kỷ 16.","Phong cách cổ điển, gam màu vàng.","Một ngai vàng bằng vàng ròng được đặt trên bậc thềm đá cẩm thạch, xung quanh là những cột trụ cao chạm khắc hình ảnh cổ đại."
"Mô tả bìa sách cho truyện phiêu lưu về một nhóm thám hiểm dấn thân vào hành trình tìm kiếm kho báu bị thất lạc.","","Một hang động lớn với bức tường khắc đầy ký hiệu bí ẩn, sâu bên trong là ánh sáng vàng le lói từ một kho báu bị lãng quên."
"Giới thiệu bìa sách cho tiểu thuyết viễn tưởng về một xã hội nơi con người có thể chuyển ý thức vào máy tính.","","Một buồng kính lớn chứa đầy dây cáp và màn hình nhấp nháy, dữ liệu chạy liên tục trên các tấm bảng điện tử xung quanh."
"Tóm tắt bìa sách cho truyện trinh thám về một thám tử điều tra vụ án mạng bí ẩn trong gia tộc giàu có.","Gam màu tối, không khí bí ẩn.","Một biệt thự sang trọng với ánh đèn vàng nhạt, cửa sổ cao vút, phía xa là bóng cây lặng lẽ trong màn đêm."
"Mô tả nội dung bìa sách cho truyện kinh dị lấy bối cảnh một căn nhà bị linh hồn của đứa trẻ mất tích ám ảnh.","Không gian u ám, yếu tố siêu nhiên.","Ngôi nhà cổ kính với cửa sổ vỡ, rèm cửa rách nát phất phơ trong gió, ánh trăng lạnh lẽo chiếu qua những tán cây rậm rạp."
"Lời giới thiệu bìa sách cho tiểu thuyết lãng mạn xoay quanh mối tình giữa một nhà văn và một biên tập viên.","Phong cách hiện đại, gam màu ấm áp.","Một quán cà phê nhỏ với ánh đèn vàng ấm áp, những kệ sách đầy ắp, ly cà phê bốc khói trên bàn gỗ."
"Phác họa bìa sách cho truyện giả tưởng về một cậu bé phát hiện ra khả năng thao túng sức mạnh của gió.","","Một cơn lốc xoáy khổng lồ xoay tròn giữa cánh đồng rộng lớn, cuốn theo lá cây và bụi đất bay mịt mù."
"Thông tin bìa sách cho truyện hành động về một điệp viên dấn thân vào nhiệm vụ ngăn chặn cuộc tấn công hạt nhân.","Phong cách hiện đại, gam màu tối.","Một con phố bị bao phủ bởi khói bụi dày đặc, những tòa nhà xiêu vẹo đứng im lặng dưới ánh đèn đường leo lét."
"Giới thiệu tổng quan bìa sách cho truyện hồi hộp kể về một nhà báo điều tra vụ án mạng liên quan đến người nổi tiếng.","Không gian u ám, yếu tố bí ẩn.","Một phòng làm việc lộn xộn với giấy tờ rải rác trên bàn, bản đồ cũ bị đánh dấu bằng những đường kẻ đỏ."
"Tóm lược bìa sách cho tiểu thuyết lịch sử khắc họa cuộc đời của một nhà cách mạng trong thế kỷ 20.","","Lá cờ rách tả tơi tung bay trên nền trời đỏ rực, phía xa là những bức tường đầy dấu tích chiến tranh."
"Tổng quan bìa sách cho truyện phiêu lưu theo chân một nhóm bạn trẻ khám phá hòn đảo kỳ bí.","Phong cách mạo hiểm, gam màu nâu.","Một hang động lớn với những bức tường phủ đầy rêu xanh, bên trong là ánh sáng vàng le lói từ một kho báu bị lãng quên."
"Lời mở đầu bìa sách cho tiểu thuyết viễn tưởng về một thế giới nơi con người có thể kết nối với người ngoài hành tinh.","Phong cách tương lai, gam màu xanh.","Một cánh cổng kim loại khổng lồ với ánh sáng xanh huyền bí tỏa ra từ các hoa văn chạm khắc kỳ lạ."
"Giới thiệu câu chuyện trên bìa sách cho truyện trinh thám kể về một vụ án mạng kinh hoàng trong gia đình quyền quý.","Gam màu tối, không khí bí ẩn.","Một biệt thự sang trọng với ánh đèn vàng nhạt, cửa sổ lớn mở hé, bên ngoài là khu vườn tĩnh lặng."
"Nội dung bìa sách cho truyện kinh dị lấy bối cảnh một căn nhà bị hồn ma của một đứa trẻ lang thang chiếm giữ.","","Một ngôi nhà cổ với cánh cửa gỗ bị khóa chặt, mặt trăng mờ ảo soi rọi qua những nhánh cây cong queo."
"Tóm tắt nội dung bìa sách cho tiểu thuyết lãng mạn kể về tình yêu sâu sắc giữa một nhà văn và một biên tập viên.","Phong cách hiện đại, gam màu ấm áp.","Một quán cà phê nhỏ với ánh đèn ấm áp, những tờ bản thảo chất đầy trên bàn gỗ cũ."
"Mô tả bìa sách cho truyện giả tưởng về hành trình khám phá năng lực điều khiển gió của một cậu bé.","","Một cơn lốc bụi khổng lồ quét qua cánh đồng hoang vắng, xé toạc những đám cỏ khô bay lên không trung."
"Tóm lược bìa sách cho tiểu thuyết viễn tưởng lấy bối cảnh loài người sinh sống trong các thành phố dưới đáy đại dương.","Phong cách tương lai, gam màu xanh dương.","Một thành phố dưới nước với những tòa nhà kính khổng lồ, ánh sáng xanh từ bên trong phản chiếu lên mặt biển."
"Giới thiệu bìa sách cho truyện kinh dị xoay quanh ngôi nhà bị ám bởi linh hồn của một nhạc sĩ bí ẩn.","Không gian u ám, gam màu đen và xám.","Một cây đàn piano phủ đầy bụi đặt giữa căn phòng hoang phế, ánh sáng nhạt nhòa xuyên qua cửa kính vỡ."
"Lời mở đầu bìa sách cho tiểu thuyết viễn tưởng về một thế giới nơi con người có thể du hành qua vũ trụ song song.","","Một cánh cổng dịch chuyển phát sáng đứng giữa khoảng không, phản chiếu hình ảnh của những thực tại song song."
"Mô tả bìa sách cho truyện trinh thám về một vụ án mạng diễn ra trong viện bảo tàng cổ vật.","Gam màu tối, không khí bí ẩn.","Một phòng trưng bày tối tăm với ánh đèn chiếu vào một chiếc mặt nạ cổ, những chiếc kệ kính phản chiếu bóng tối."
"Tóm lược bìa sách cho truyện phiêu lưu theo chân nhóm thám hiểm truy tìm kho báu trong rừng rậm Amazon.","Phong cách mạo hiểm, gam màu xanh lá và nâu.","Một ngôi đền cổ bị bao phủ bởi rêu xanh, lối vào chặn bởi những dây leo dày đặc và ánh sáng lờ mờ từ bên trong."
"Giới thiệu tổng quan bìa sách cho tiểu thuyết viễn tưởng về một thế giới nơi con người có thể giao tiếp với cây cối.","","Một khu rừng già với những cây cổ thụ khổng lồ, giữa không trung là những hạt phấn phát sáng như đang thì thầm."
"Lời mở đầu bìa sách cho truyện kinh dị kể về một ngôi làng bị nguyền rủa bởi một phép thuật cổ xưa.","","Một ngôi làng nhỏ bị bao phủ trong màn sương mù dày đặc, bầu trời đen kịt với những tia chớp đỏ rực xuyên qua mây đen."
"Tóm tắt nội dung bìa sách cho tiểu thuyết lãng mạn về tình yêu đầy cảm xúc giữa một họa sĩ và một nhà thơ.","","Một công viên tĩnh lặng vào buổi hoàng hôn, trên băng ghế có một giá vẽ với bức tranh dang dở và một tập thơ mở ra, những trang giấy bay lững lờ trong gió."
"Mô tả bìa sách cho tiểu thuyết viễn tưởng về một thế giới nơi con người có khả năng kiểm soát giấc mơ.","Phong cách siêu thực, gam màu tím và xanh.","Một căn phòng lơ lửng giữa không gian, những cánh cửa trôi nổi mở ra các cảnh tượng kỳ lạ—một khu rừng phát sáng, những bậc thang vô tận, một thành phố lộn ngược trên bầu trời."
"Mô tả bìa sách cho truyện trinh thám về một thám tử điều tra vụ giết người bí ẩn trong khách sạn xa hoa.","Gam màu tối, không khí bí ẩn.","Một hành lang dài với ánh đèn vàng nhạt, một cánh cửa hé mở để lộ vũng máu trên nền thảm sang trọng."
"Giới thiệu bìa sách cho truyện phiêu lưu về nhóm bạn dấn thân vào hành trình khám phá hòn đảo kỳ bí.","","Một bãi biển hoang sơ trải dài, phía xa là một ngọn núi lửa đang phun trào, dung nham rực sáng phản chiếu trên mặt nước."
"Tóm lược bìa sách cho tiểu thuyết khoa học viễn tưởng về một thế giới nơi con người đạt được sự bất tử nhờ công nghệ tiên tiến.","Phong cách tương lai, gam màu xanh và bạc.","Một buồng kính tối tân với ánh sáng xanh và bạc, xung quanh là các dây cáp và màn hình hiển thị dữ liệu phức tạp."
"Mô tả nội dung bìa sách cho truyện kinh dị kể về ngôi nhà bị ám bởi hồn ma của một gia đình bị sát hại tàn nhẫn.","Không gian u ám, gam màu đen và xám.","Một ngôi nhà cổ với cửa sổ vỡ, ánh trăng lạnh lẽo chiếu qua những tán cây, bóng tối bao trùm hành lang đầy mạng nhện."
"Lời giới thiệu bìa sách cho tiểu thuyết lãng mạn xoay quanh mối tình giữa một nhà văn đầy hoài bão và một biên tập viên sắc sảo.","","Một quán cà phê nhỏ với ánh đèn vàng ấm áp, bàn ghế phủ đầy sách và bản thảo, một chiếc bút nằm trên trang giấy còn dang dở."
"Phác họa bìa sách cho tiểu thuyết giả tưởng về một thế giới nơi con người có khả năng kiểm soát và thay đổi thời tiết.","Phong cách kỳ ảo, gam màu xanh và trắng.","Một cơn bão dữ dội với những tia chớp rạch ngang bầu trời, mây đen cuộn xoáy, những dòng nước chảy xiết trên mặt đất nứt nẻ."
"Giới thiệu tổng quan bìa sách cho truyện trinh thám xoay quanh vụ án mạng bí ẩn trong một gia đình quý tộc.","Gam màu tối, không khí bí ẩn.","Một biệt thự sang trọng với ánh đèn vàng nhạt, cửa sổ lớn phản chiếu bóng tối bên ngoài, phía xa là bóng dáng mờ ảo của một kẻ khả nghi."
"Tóm tắt bìa sách cho truyện phiêu lưu kể về hành trình của nhóm bạn khi phát hiện một hang động ẩn chứa bí mật cổ xưa.","","Một hang động khổng lồ với ánh sáng vàng lấp lánh phát ra từ các tinh thể pha lê, vách đá chạm khắc những ký hiệu cổ xưa."
"Mô tả bìa sách cho tiểu thuyết viễn tưởng về một thế giới nơi nhân loại có thể giao tiếp với nền văn minh ngoài hành tinh.","Phong cách tương lai, gam màu tím và xanh.","Một con tàu vũ trụ hạ cánh giữa bãi đất rộng, xung quanh là những vì sao lấp lánh và các kiến trúc ngoài hành tinh bí ẩn."
"Giới thiệu bìa sách cho truyện kinh dị lấy bối cảnh một căn nhà ma quái bị ám bởi linh hồn của một đứa trẻ mất tích.","Không gian u ám, gam màu đen và xám.","Một ngôi nhà cổ đứng lẻ loi giữa khu rừng rậm rạp, cửa sổ vỡ phản chiếu ánh trăng mờ nhạt, gió thổi qua làm lay động những chiếc xích đu cũ kỹ."
"Tóm lược bìa sách cho tiểu thuyết phiêu lưu kỳ ảo về vùng đất nơi dòng chảy thời gian bị đảo lộn, tạo ra những biến cố kỳ lạ.","Phong cách Baroque kết hợp hiện đại, màu sắc rực rỡ.","Một thành phố kỳ lạ nơi các tòa nhà bị vỡ vụn và trôi nổi trong không trung, đồng hồ khổng lồ treo ngược trên bầu trời, các con đường uốn lượn như dòng chảy thời gian bị méo mó."
"Lời mở đầu bìa sách cho truyện kinh dị tâm lý về một ngôi làng chìm trong bóng tối của những bí mật chết người.","","Một ngôi nhà gỗ cũ kỹ nằm giữa rừng sâu, cửa sổ nứt vỡ, phía trước là một con búp bê cũ bị bỏ rơi trên nền đất ẩm ướt."
"Mô tả bìa sách cho tiểu thuyết giả tưởng về một thế giới nơi con người sinh sống trên lưng những sinh vật khổng lồ phi thường.","Phong cách hội họa kỳ ảo, màu sắc tươi sáng.","Một đại dương rộng lớn với những hòn đảo lơ lửng trên không trung, các thành phố nhỏ ẩn mình giữa những cánh rừng xanh thẳm."
"Giới thiệu bìa sách cho truyện trinh thám siêu nhiên về một thám tử chuyên điều tra những vụ án có liên quan đến linh hồn và thế giới bên kia.","Gam màu đen, trắng và xám, tối giản nhưng ám ảnh.","Một căn phòng tối với ánh sáng lờ mờ từ chiếc đèn bàn, trên bàn là những bức ảnh chụp hiện trường vụ án, một tấm bản đồ với nhiều ký hiệu bí ẩn dán trên tường."
"Tóm tắt nội dung bìa sách cho tiểu thuyết khoa học viễn tưởng về một hành tinh nơi con người phải trốn dưới lòng đất để tránh bức xạ mặt trời chết chóc.","","Một thành phố ngầm rộng lớn với những tòa nhà chọc trời xây dựng ngược xuống lòng đất, ánh sáng neon phản chiếu trên các bức tường kim loại."
"Lời giới thiệu bìa sách cho truyện cổ tích hiện đại về một thế giới nơi những câu chuyện huyền thoại trở thành sự thật.","Phong cách minh họa cổ điển, màu sắc pastel.","Một khu rừng kỳ ảo với những cây nấm khổng lồ, dòng suối phát sáng, những cánh cửa cổ tích ẩn sau các gốc cây rêu phong."
"Phác họa bìa sách cho tiểu thuyết hành động về một nhóm đặc nhiệm chuyên điều tra những hiện tượng siêu nhiên bí ẩn.","","Một tòa nhà bỏ hoang với các lối đi chìm trong làn khói dày đặc, ánh đèn pin rọi qua những vết tích của một hiện tượng siêu nhiên."
"Giới thiệu tổng quan bìa sách cho truyện lãng mạn kỳ ảo về một tình yêu vượt qua ranh giới mong manh giữa sự sống và cái chết.","Gam màu tím và hồng nhạt, lãng mạn và kỳ ảo.","Một cây cầu bắc qua dòng sông ánh sáng, một bên là thế giới của sự sống với cây cối xanh tươi, một bên là thế giới của bóng tối với những chiếc đèn lồng lập lòe trong sương mù."
"Mô tả bìa sách cho tiểu thuyết giả tưởng về một xã hội nơi con người có thể tiếp cận và ""mượn"" ký ức của người khác.","","Một thiết bị kết nối não nằm giữa không trung, xung quanh là những mảnh ký ức lơ lửng như màn hình hologram, hiển thị cảnh tượng từ quá khứ."
"Tóm lược bìa sách cho truyện kinh dị kể về một thị trấn nơi thời gian ngừng trôi đúng vào lúc nửa đêm, tạo nên những hiện tượng đáng sợ.","Gam màu đen và xám, không khí u ám.","Một chiếc đồng hồ lớn chỉ đúng 12 giờ, xung quanh là những con phố và tòa nhà đông cứng như tượng, ánh trăng lạnh lẽo chiếu xuống."
"Thiết kế bìa sách cho bìa sách cho tiểu thuyết phiêu lưu về một nhóm thám hiểm đại dương vô tình phát hiện thành phố dưới nước của một nền văn minh cổ đại.","","Một tàu ngầm nhỏ tiến gần đến một thành phố cổ đại bị chìm, xung quanh là những sinh vật biển phát quang và những bức tượng khổng lồ bị rêu phủ."
"Mô tả thiết kế bìa cho truyện trinh thám về một thám tử điều tra những vụ án liên quan đến những bức tranh ma quái.","Gothic, gam màu đỏ sẫm và đen.","Một phòng tranh tối tăm, ánh sáng từ chiếc đèn dầu chiếu lên bức tranh mà nhân vật trong đó dường như đang nhìn ra ngoài, tay chỉ về phía một manh mối bí ẩn."
"Phác thảo bìa sách cho tiểu thuyết khoa học viễn tưởng về một hành tinh nơi con người phải sống trong những bong bóng khí khổng lồ để tồn tại.","","Một thành phố nằm trong bong bóng khí khổng lồ, bên ngoài là bầu khí quyển độc hại và những cơn bão cát khủng khiếp."
"Đề xuất hình ảnh bìa sách cho truyện cổ tích đen về một ngôi làng nơi những ước nguyện đều bị biến thành lời nguyền.","","Một cái giếng cổ, xung quanh là những con đường và ngôi nhà, phía trên là dòng chữ ""Hãy cẩn thận những gì bạn ước""."
"Lên ý tưởng bìa sách cho tiểu thuyết hành động về một nhóm hacker chiến đấu chống lại một AI đã kiểm soát toàn bộ thế giới ảo.","Cyberpunk, gam màu neon xanh lá và hồng.","Một màn hình khổng lồ với những dòng mã code chạy dọc, phía sau là hình ảnh ảo của AI đang vươn lên như một thực thể khổng lồ."
"Xây dựng mô tả bìa sách cho truyện kinh dị tâm lý về một ngôi nhà tự thay đổi cấu trúc mỗi đêm.","Gam màu xám và xanh lá đậm, không khí kỳ ảo.","Một ngôi nhà với những cánh cửa và cầu thang xoắn ốc vô tận, ánh sáng từ ngọn nến lung linh chiếu qua những bức tường đang dần dịch chuyển."
"Gợi ý thiết kế bìa cho tiểu thuyết về một thế giới nơi con người có thể giao tiếp với động vật thông qua công nghệ.","Tương lai, gam màu xanh lá và cam.","Một khu rừng với các thiết bị công nghệ gắn trên cây, không gian pha trộn giữa tự nhiên và công nghệ hiện đại."
"Tạo hình ảnh mô tả bìa sách cho truyện trinh thám về một thám tử điều tra những vụ án liên quan đến những cuốn sách ma thuật.","Gothic, gam màu nâu và vàng.","Một thư viện cổ kính, ánh sáng từ ngọn nến chiếu lên những cuốn sách phát sáng, một cuốn sách đang mở ra với những dòng chữ ma thuật bay lơ lửng."
"Thiết kế ý tưởng bìa sách cho tiểu thuyết về một thế giới nơi con người có thể du hành vào giấc mơ của người khác.","","Một căn phòng tối, ánh sáng mờ ảo phản chiếu những cảnh tượng kỳ lạ từ giấc mơ, bao gồm những thành phố lơ lửng và sinh vật kỳ dị."
"Mô phỏng bìa sách cho truyện kinh dị về một ngôi làng nơi người dân biến thành cây vào ban đêm.","","Một ngôi làng yên tĩnh, những thân cây có hình dáng giống con người, ánh trăng chiếu qua những cành cây gầy guộc."
"Hình dung bìa sách cho tiểu thuyết về một thế giới nơi con người có thể tái sinh nhưng phải đánh đổi một phần ký ức.","Tương lai, gam màu trắng và xám.","Một tấm gương lớn với hình ảnh phản chiếu dần biến mất, xung quanh là những mảnh ký ức vỡ vụn."
"Sáng tạo bìa sách cho truyện trinh thám về một thám tử điều tra những vụ án liên quan đến những bức tượng biết cử động.","","Một bảo tàng tối tăm, những bức tượng đá dần quay đầu nhìn về phía một điểm sáng bí ẩn, ánh sáng từ ngọn đèn dầu chiếu lên khuôn mặt đầy bí ẩn của chúng."
"Trình bày ý tưởng bìa sách cho tiểu thuyết về một thế giới nơi con người có thể sống trong những giấc mơ tập thể.","Siêu thực, gam màu pastel và ánh sáng mờ ảo.","Một khu vực siêu thực với các tòa nhà lơ lửng, ánh sáng mềm mại bao phủ một vùng không gian kỳ ảo."
"Hãy sáng tạo một thiết kế độc đáo cho bìa sách về một nhà giả kim tìm kiếm sự bất tử.","Tông màu hoàng kim pha trộn sắc bạc huyền bí, phong cách huyền thuật cổ đại","Một cuốn sách cũ với biểu tượng vòng tròn giả kim sáng lên giữa những dòng chữ cổ. Phía sau là hình ảnh một khu rừng tối với ánh sáng kỳ lạ phát ra từ một lọ thuốc, báo hiệu về bí mật của sự trường sinh."
"Tưởng tượng một bìa sách cho câu chuyện về những người du hành vượt thời gian bị mắc kẹt giữa các dòng thời gian khác nhau.","Xanh lam thẫm hòa quyện cùng ánh sáng neon tím, phong cách siêu thực","Một chiếc đồng hồ cát khổng lồ lơ lửng giữa không gian, với những dòng cát chính là các vũ trụ song song đang xoay chuyển. Những khe nứt thời gian mở ra trên nền không gian tối tăm."
"Thiết kế một bìa sách thể hiện cuộc chiến giữa các vị thần trong thần thoại hiện đại.","","Hai bóng dáng khổng lồ đối mặt trên bầu trời giông bão, một bên nắm trong tay ngọn lửa thiêng, bên kia điều khiển sấm sét. Bên dưới là một thành phố hiện đại đang rung chuyển trước sức mạnh thần thánh."
"Hãy hình dung bìa sách cho câu chuyện về một phi hành gia lạc trong không gian mà không có đường về.","","Một con tàu vũ trụ nhỏ trôi dạt giữa không gian, phía xa là hình ảnh Trái Đất nhỏ bé dần xa khuất. Xung quanh chỉ là bóng tối vô tận, với vài tia sáng từ những vì sao xa xôi."
"Đề xuất một ý tưởng thiết kế bìa sách về một thị trấn nhỏ nơi mọi người đều có một bí mật kỳ lạ.","Gam màu pastel nhẹ nhàng nhưng có nét bí ẩn, phong cách cổ điển pha trộn gothic","Một con đường yên tĩnh với những ngôi nhà cổ, nhưng trên mỗi ô cửa sổ đều có một bóng tối kỳ lạ ẩn giấu phía sau rèm. Một chiếc đồng hồ cũ trên quảng trường chỉ đúng nửa đêm, dù thời gian thực đã là ban ngày."
"Xây dựng một hình ảnh bìa sách cho câu chuyện về một nền văn minh cổ đại bị lãng quên dưới lòng đất.","Màu nâu đất đậm kết hợp ánh sáng vàng kim mờ ảo, phong cách khảo cổ bí ẩn","Một cánh cửa đá khổng lồ với những ký tự cổ xưa được khắc sâu. Bên trong cánh cửa, một ánh sáng yếu ớt lóe lên, phản chiếu lên bề mặt đá xung quanh."
"Sáng tạo một bìa sách cho câu chuyện về một phù thủy trẻ tuổi tìm kiếm bí kíp phép thuật tối thượng.","Xanh lục thẫm pha ánh tím ma thuật, phong cách huyền bí đầy lôi cuốn","Một quyển sách phép dày cộp mở ra, những ký tự bay lơ lửng trong không khí. Xung quanh là những lọ thuốc phát sáng, tỏa ra làn khói huyền bí."
"Mô tả bìa sách cho câu chuyện về một người có thể nhìn thấy tương lai thông qua những giấc mơ.","Tông màu xanh nước biển pha ánh vàng nhạt, phong cách mơ hồ siêu thực","Một bề mặt nước phản chiếu cảnh tượng của những sự kiện chưa xảy ra. Các vòng tròn thời gian lượn quanh, tạo ra một cảm giác không gian bị bóp méo."
"Hãy thiết kế bìa sách thể hiện sự đối lập giữa thế giới ảo và thực tế.","","Một khối dữ liệu số hóa đang tan biến vào nền màn hình. Ở phía sau, thành phố thực và thành phố ảo đan xen vào nhau một cách mơ hồ."
"Tưởng tượng một bìa sách miêu tả hành trình khám phá một hành tinh xa lạ.","Cam đất nóng bỏng đối lập với xanh lá thiên nhiên hoang sơ, phong cách khoa học viễn tưởng","Một phi thuyền nhỏ hạ cánh xuống một vùng đất đầy rừng cây phát sáng. Xa xa, những cấu trúc lạ thường ẩn mình giữa những ngọn núi khổng lồ."
"Hãy tạo ra một bìa sách thể hiện hành trình tìm kiếm kho báu trên một hòn đảo bí ẩn.","Màu xanh đại dương hòa cùng sắc vàng của ánh nắng, phong cách phiêu lưu hoang dã","Một bản đồ cổ rách nát với dấu X đỏ nổi bật. Phía xa là bóng dáng một con tàu cướp biển. Những con sóng vỗ mạnh vào bờ đá, nơi một chiếc rương kho báu hé lộ ánh sáng lấp lánh."
"Tưởng tượng một bìa sách dành cho tiểu thuyết trinh thám về một vụ án bí ẩn trong một thư viện cổ.","","Một giá sách cao chót vót với hàng ngàn quyển sách cũ, nhưng chỉ có một cuốn bị kéo lệch, để lộ một lối đi bí mật. Trên nền nhà là một chiếc kính lúp rơi cạnh vết mực mờ nhạt."
"Thiết kế bìa sách cho câu chuyện về một người máy dần phát triển cảm xúc giống con người.","Bạc kim loại lạnh lẽo kết hợp ánh xanh neon, phong cách công nghệ tương lai","Một cỗ máy với đôi mắt phát sáng, bề mặt hợp kim phản chiếu ánh sáng yếu ớt."
"Hãy sáng tạo một bìa sách cho câu chuyện kể về thế giới nơi giấc mơ có thể trở thành hiện thực.","","Một cánh cửa lơ lửng giữa không trung, bên trong phản chiếu một thế giới hoàn toàn khác. Những chiếc cầu vồng xoắn ốc nối liền các hành tinh trôi nổi."
"Mô tả bìa sách cho một tiểu thuyết lấy bối cảnh hậu tận thế, khi nhân loại cố gắng tái thiết cuộc sống.","Sự tương phản giữa xám tro đổ nát và xanh lá của sự sống mới, phong cách u ám nhưng đầy hy vọng","Một thành phố hoang tàn bị bao phủ bởi dây leo xanh mướt. Ở chân trời, mặt trời đang mọc lên, báo hiệu sự khởi đầu mới."
"Hãy nghĩ ra một bìa sách về câu chuyện một nhạc sĩ có thể tạo ra giai điệu có sức mạnh biến đổi thế giới.","Đỏ rượu vang đầy cảm xúc kết hợp cùng sắc vàng ấm áp, phong cách nghệ thuật đầy thơ mộng","Một cây đàn violin tỏa ra những nốt nhạc bay lơ lửng, mỗi nốt nhạc biến thành một dòng sông ánh sáng. Trong bóng tối, một làn sóng năng lượng lan tỏa theo từng giai điệu."
"Tạo ra một bìa sách thể hiện cuộc chiến của hai thế lực đối lập: ánh sáng và bóng tối.","Sự đan xen giữa trắng thuần khiết và đen sâu thẳm, phong cách đối lập mạnh mẽ","Hai nguồn năng lượng đối lập chạm vào nhau, một bên phát sáng rực rỡ, bên kia chìm trong bóng tối. Ở giữa, một thanh kiếm lơ lửng, phản chiếu cả hai mặt của cuộc chiến vĩnh cửu."
"Hãy thiết kế bìa sách cho một câu chuyện tình yêu diễn ra trong thế giới ảo.","Tông xanh lam của không gian số hóa pha chút hồng phấn lãng mạn, phong cách hiện đại pha chút kỳ ảo","Một không gian lập trình nơi các dòng mã lệnh dần tan biến. Trên màn hình hiển thị dòng chữ “ERROR: Data Not Found”."
"Hãy mô tả bìa sách về một thành phố nơi mọi người đều có khả năng điều khiển một nguyên tố tự nhiên.","","Một bức tranh toàn cảnh của thành phố, nơi trên bầu trời, nước, lửa, đất và gió đan xen tạo thành một vũ điệu kỳ diệu. Ở trung tâm, một luồng năng lượng nguyên tố tỏa sáng rực rỡ."
"Thiết kế bìa sách cho một câu chuyện nơi công nghệ có thể ghi lại ký ức và phát lại như một bộ phim.","","Một cuộn băng hologram phát sáng giữa căn phòng tối, bên trong phản chiếu hình ảnh một ký ức xa xưa. Ánh sáng xanh mờ ảo lan tỏa khắp không gian."
"Sáng tạo một bìa sách kể về cuộc hành trình tìm kiếm loài sinh vật huyền thoại bị lãng quên.","Tông màu xanh lam sâu thẳm pha chút ánh bạc, phong cách huyền bí thần thoại","Một khu rừng âm u với hồ nước trong suốt phản chiếu một hình bóng khổng lồ có cánh. Xa xa, những ánh sáng mờ ảo lướt qua giữa bóng cây."
"Tưởng tượng bìa sách cho một câu chuyện viễn tưởng về cuộc chiến giữa loài người và trí tuệ nhân tạo.","Màu đỏ cảnh báo xen lẫn ánh xanh kim loại, phong cách công nghệ cao cấp","Một thành phố bị bao trùm bởi màn hình LED hiển thị dòng mã lệnh đỏ chói. Một cấu trúc kim loại khổng lồ đứng giữa trung tâm, phát ra ánh sáng lạnh lẽo."
"Hãy miêu tả bìa sách cho tiểu thuyết giả tưởng về một nữ hoàng phù thủy bị phong ấn suốt hàng thế kỷ.","Sắc tím hoàng gia pha trộn ánh bạc huyền ảo, phong cách ma thuật quyền lực","Một ngai vàng phủ đầy dây leo gai góc, phía trên là một vầng sáng mờ ảo. Trong bóng tối, một luồng khí đen từ từ lan ra, mang theo cảm giác bị giam cầm."
"Thiết kế một bìa sách cho tiểu thuyết trinh thám về một thám tử có khả năng cảm nhận quá khứ thông qua đồ vật.","","Một chiếc găng tay da cầm lấy một đồng hồ bỏ túi cũ, từ đó phát ra những hình ảnh mờ ảo của một vụ án đã bị lãng quên từ hàng thập kỷ trước."
"Hãy tạo ra bìa sách mô tả thế giới nơi con người có thể du hành vào giấc mơ của người khác.","Xanh ngọc huyền bí kết hợp ánh sáng hồng mềm mại, phong cách siêu thực đầy mê hoặc","Một cánh cửa khổng lồ trôi lơ lửng giữa vũ trụ đầy sao, bên trong cánh cửa là vô số cảnh tượng khác nhau—một thành phố lộn ngược, một biển hoa không trọng lực, một đôi mắt khổng lồ theo dõi mọi chuyển động."
